event_id,employee_id,absence_type,start_date,end_date,days,status,bucket_id,note
EV-00001,PL-0001,annual_leave,2024-03-19,2024-03-21,3.0,approved,annual_leave,
EV-00002,PL-0001,annual_leave,2024-11-15,2024-11-15,1.0,approved,annual_leave,
EV-00003,PL-0001,annual_leave,2024-05-02,2024-05-06,5.0,approved,annual_leave,
EV-00004,PL-0001,annual_leave,2024-12-04,2024-12-13,10.0,approved,annual_leave,
EV-00005,PL-0001,annual_leave,2024-10-16,2024-10-16,1.0,approved,annual_leave,
EV-00006,PL-0001,annual_leave,2024-04-02,2024-04-04,3.0,approved,annual_leave,
EV-00007,PL-0001,annual_leave,2025-11-12,2025-11-16,5.0,approved,annual_leave,
EV-00008,PL-0001,annual_leave,2025-12-12,2025-12-16,5.0,approved,annual_leave,
EV-00009,PL-0001,annual_leave,2025-08-13,2025-08-15,3.0,approved,annual_leave,
EV-00010,PL-0001,annual_leave,2025-06-11,2025-06-13,3.0,approved,annual_leave,
EV-00011,PL-0001,annual_leave,2025-01-03,2025-01-03,1.0,approved,annual_leave,
EV-00012,PL-0001,annual_leave,2025-04-04,2025-04-05,2.0,approved,annual_leave,
EV-00013,PL-0001,annual_leave,2025-02-01,2025-02-03,3.0,approved,annual_leave,
EV-00014,PL-0001,annual_leave,2026-01-12,2026-01-13,2.0,approved,annual_leave,
EV-00015,PL-0001,annual_leave,2026-02-03,2026-02-07,5.0,approved,annual_leave,
EV-00016,PL-0001,annual_leave,2026-04-06,2026-04-09,4.0,approved,annual_leave,
EV-00017,PL-0002,annual_leave,2024-03-10,2024-03-12,3.0,approved,annual_leave,
EV-00018,PL-0002,annual_leave,2024-10-09,2024-10-13,5.0,approved,annual_leave,
EV-00019,PL-0002,annual_leave,2024-01-02,2024-01-06,5.0,approved,annual_leave,
EV-00020,PL-0002,annual_leave,2024-05-05,2024-05-05,1.0,approved,annual_leave,
EV-00021,PL-0002,annual_leave,2024-11-20,2024-11-26,7.0,approved,annual_leave,
EV-00022,PL-0002,annual_leave,2025-01-15,2025-01-16,2.0,approved,annual_leave,
EV-00023,PL-0002,annual_leave,2025-09-14,2025-09-15,2.0,approved,annual_leave,
EV-00024,PL-0002,annual_leave,2025-01-17,2025-01-21,5.0,approved,annual_leave,
EV-00025,PL-0002,annual_leave,2025-01-09,2025-01-10,2.0,approved,annual_leave,
EV-00026,PL-0002,annual_leave,2025-05-18,2025-05-22,5.0,approved,annual_leave,
EV-00027,PL-0002,annual_leave,2025-11-15,2025-11-19,5.0,approved,annual_leave,
EV-00028,PL-0002,annual_leave,2025-08-03,2025-08-04,2.0,approved,annual_leave,
EV-00029,PL-0002,annual_leave,2025-01-07,2025-01-07,1.0,approved,annual_leave,
EV-00030,PL-0002,annual_leave,2026-01-09,2026-01-09,1.0,approved,annual_leave,
EV-00031,PL-0002,annual_leave,2026-03-12,2026-03-13,2.0,approved,annual_leave,
EV-00032,PL-0002,annual_leave,2026-05-06,2026-05-06,1.0,approved,annual_leave,
EV-00033,PL-0002,annual_leave,2026-03-18,2026-03-20,3.0,approved,annual_leave,
