employee_id,entity_id,hire_date,weekly_hours,working_days_per_week,birth_date,work_region,prior_service_years,education_credit_years,service_evidence_on_file,expiry_notice_given,termination_date
PL-0001,PL-SSC,2022-03-01,40,5,1990-05-12,,4,8,yes,no,
PL-0002,PL-SSC,2021-09-15,40,5,1988-01-30,,6,8,no,no,
PL-0003,PL-SSC,2019-11-01,40,5,1995-07-07,,0,6,yes,no,
PL-0004,PL-SSC,2015-02-02,40,5,1972-04-18,,12,8,yes,no,
NL-0001,NL-BV,2020-01-06,40,5,1991-09-09,,0,0,yes,no,
NL-0002,NL-BV,2019-04-01,40,5,1985-12-01,,0,0,yes,yes,
IN-0001,IN-SSC,2021-06-01,40,5,1993-02-14,MH,0,0,yes,no,
IN-0002,IN-SSC,2023-08-16,40,5,1997-11-23,KA,0,0,yes,no,
US-0001,US-CORP,2018-07-09,40,5,1986-03-03,CA,0,0,yes,no,
US-0002,US-CORP,2022-01-10,40,5,1994-08-21,IL,0,0,yes,no,
IE-0001,IE-INTL,2021-05-04,40,5,1990-10-10,,0,0,yes,no,
IE-0002,IE-INTL,2023-09-11,24,3,1996-06-30,,0,0,yes,no,
DE-0001,DE-GMBH,2017-03-20,40,5,1983-01-15,BE,0,0,yes,yes,
DE-0002,DE-GMBH,2024-10-01,40,5,1999-05-05,BY,0,0,yes,no,
PL-0005,PL-SSC,2022-01-27,40,5,2000-12-22,,2,8,yes,yes,
PL-0006,PL-SSC,2021-06-09,40,5,1974-06-11,,5,6,yes,yes,
PL-0007,PL-SSC,2024-04-04,40,5,1998-01-25,,5,6,no,yes,
PL-0008,PL-SSC,2024-01-03,24,3,1996-12-28,,5,8,yes,no,
PL-0009,PL-SSC,2021-08-12,40,5,1985-05-22,,2,0,yes,yes,
PL-0010,PL-SSC,2016-07-15,40,5,1973-01-14,,9,6,yes,yes,
PL-0011,PL-SSC,2019-12-20,40,5,1976-07-08,,0,6,yes,yes,
PL-0012,PL-SSC,2019-05-23,40,5,1989-08-09,,5,0,yes,yes,
PL-0013,PL-SSC,2019-11-23,24,3,1999-12-22,,2,6,yes,yes,
PL-0014,PL-SSC,2024-04-19,40,5,1978-05-13,,0,8,yes,yes,
PL-0015,PL-SSC,2023-11-10,40,5,2001-07-18,,0,0,yes,no,
PL-0016,PL-SSC,2016-12-27,40,5,1989-08-04,,0,8,no,yes,
PL-0017,PL-SSC,2022-10-15,40,5,1992-11-09,,0,0,yes,yes,
PL-0018,PL-SSC,2023-08-15,40,5,1969-11-13,,5,0,yes,yes,
PL-0019,PL-SSC,2016-03-01,40,5,1982-05-16,,2,0,yes,yes,
PL-0020,PL-SSC,2017-06-23,40,5,1990-02-08,,9,0,yes,no,
IN-0003,IN-SSC,2021-04-13,40,5,1995-05-21,DL,0,0,yes,yes,
IN-0004,IN-SSC,2022-02-01,40,5,1991-08-25,DL,0,0,yes,yes,
IN-0005,IN-SSC,2023-10-23,40,5,1979-01-03,KA,0,0,yes,yes,
IN-0006,IN-SSC,2023-09-11,24,3,1999-03-25,KA,0,0,yes,yes,
IN-0007,IN-SSC,2017-07-08,40,5,1981-03-23,DL,0,0,yes,yes,
IN-0008,IN-SSC,2018-10-22,40,5,1985-06-13,KA,0,0,yes,yes,
IN-0009,IN-SSC,2019-07-20,40,5,1991-06-16,TN,0,0,yes,yes,
IN-0010,IN-SSC,2018-02-27,40,5,1972-12-25,MH,0,0,yes,yes,
IN-0011,IN-SSC,2018-03-04,40,5,1993-01-17,MH,0,0,yes,yes,
IN-0012,IN-SSC,2024-03-25,40,5,1992-05-03,TN,0,0,yes,yes,
US-0003,US-CORP,2023-02-18,40,5,2001-12-21,IL,0,0,yes,yes,
US-0004,US-CORP,2021-02-04,40,5,1999-10-15,CA,0,0,yes,yes,
US-0005,US-CORP,2021-07-12,40,5,1982-02-06,CA,0,0,yes,yes,
US-0006,US-CORP,2024-12-03,24,3,1984-05-08,IL,0,0,yes,yes,
US-0007,US-CORP,2016-06-01,40,5,1992-09-27,IL,0,0,yes,yes,
US-0008,US-CORP,2020-08-08,40,5,1977-09-18,IL,0,0,yes,no,
US-0009,US-CORP,2023-02-28,40,5,1972-07-19,CA,0,0,yes,yes,
US-0010,US-CORP,2015-01-23,40,5,1990-12-27,IL,0,0,yes,no,
NL-0003,NL-BV,2021-10-02,24,3,1972-08-14,,0,0,yes,yes,
NL-0004,NL-BV,2022-05-12,40,5,1999-09-19,,0,0,yes,yes,
NL-0005,NL-BV,2020-03-11,40,5,1981-10-25,,0,0,yes,yes,
NL-0006,NL-BV,2018-08-22,40,5,1996-04-25,,0,0,yes,yes,
DE-0003,DE-GMBH,2018-04-24,24,3,1995-08-20,BY,0,0,yes,yes,
DE-0004,DE-GMBH,2016-07-20,40,5,1996-05-22,BY,0,0,yes,yes,
DE-0005,DE-GMBH,2018-12-15,40,5,1992-11-04,BE,0,0,yes,no,
IE-0003,IE-INTL,2019-08-05,40,5,1981-12-09,,0,0,yes,no,
IE-0004,IE-INTL,2018-01-16,40,5,1994-06-09,,0,0,yes,yes,
IE-0005,IE-INTL,2020-02-10,24,3,1987-05-25,,0,0,yes,yes,
