employee_id,bucket_id,opening_days,as_of,signed_off_by
PL-0001,annual_leave,3,2024-01-01,Country HR Lead (PL-SSC)
PL-0002,annual_leave,8,2024-01-01,Country HR Lead (PL-SSC)
PL-0003,annual_leave,1,2024-01-01,Country HR Lead (PL-SSC)
PL-0004,annual_leave,8,2024-01-01,Country HR Lead (PL-SSC)
NL-0001,statutory,4,2024-01-01,Country HR Lead (NL-BV)
NL-0001,supplementary,0,2024-01-01,Country HR Lead (NL-BV)
NL-0002,statutory,8,2024-01-01,Country HR Lead (NL-BV)
NL-0002,supplementary,8,2024-01-01,Country HR Lead (NL-BV)
IN-0001,earned_leave,2,2024-01-01,Country HR Lead (IN-SSC)
IN-0001,casual_leave,2,2024-01-01,Country HR Lead (IN-SSC)
IN-0001,sick_leave,5,2024-01-01,Country HR Lead (IN-SSC)
IN-0002,earned_leave,1,2024-01-01,Country HR Lead (IN-SSC)
IN-0002,casual_leave,4,2024-01-01,Country HR Lead (IN-SSC)
IN-0002,sick_leave,1,2024-01-01,Country HR Lead (IN-SSC)
US-0001,pto,2,2024-01-01,Country HR Lead (US-CORP)
US-0002,pto,0,2024-01-01,Country HR Lead (US-CORP)
IE-0001,annual_leave,5,2024-01-01,Country HR Lead (IE-INTL)
IE-0002,annual_leave,0,2024-01-01,Country HR Lead (IE-INTL)
DE-0001,statutory,0,2024-01-01,Country HR Lead (DE-GMBH)
DE-0001,contractual,0,2024-01-01,Country HR Lead (DE-GMBH)
PL-0005,annual_leave,3,2024-01-01,Country HR Lead (PL-SSC)
PL-0006,annual_leave,2,2024-01-01,Country HR Lead (PL-SSC)
PL-0010,annual_leave,4,2024-01-01,Country HR Lead (PL-SSC)
PL-0011,annual_leave,4,2024-01-01,Country HR Lead (PL-SSC)
PL-0012,annual_leave,2,2024-01-01,Country HR Lead (PL-SSC)
PL-0013,annual_leave,1,2024-01-01,Country HR Lead (PL-SSC)
PL-0015,annual_leave,0,2024-01-01,Country HR Lead (PL-SSC)
PL-0016,annual_leave,1,2024-01-01,Country HR Lead (PL-SSC)
PL-0017,annual_leave,1,2024-01-01,Country HR Lead (PL-SSC)
PL-0018,annual_leave,6,2024-01-01,Country HR Lead (PL-SSC)
PL-0019,annual_leave,1,2024-01-01,Country HR Lead (PL-SSC)
PL-0020,annual_leave,8,2024-01-01,Country HR Lead (PL-SSC)
IN-0003,earned_leave,0,2024-01-01,Country HR Lead (IN-SSC)
IN-0003,casual_leave,3,2024-01-01,Country HR Lead (IN-SSC)
IN-0003,sick_leave,3,2024-01-01,Country HR Lead (IN-SSC)
IN-0004,earned_leave,1,2024-01-01,Country HR Lead (IN-SSC)
IN-0004,casual_leave,4,2024-01-01,Country HR Lead (IN-SSC)
IN-0004,sick_leave,0,2024-01-01,Country HR Lead (IN-SSC)
IN-0006,earned_leave,6,2024-01-01,Country HR Lead (IN-SSC)
IN-0006,casual_leave,1,2024-01-01,Country HR Lead (IN-SSC)
IN-0006,sick_leave,5,2024-01-01,Country HR Lead (IN-SSC)
IN-0007,earned_leave,3,2024-01-01,Country HR Lead (IN-SSC)
IN-0007,casual_leave,0,2024-01-01,Country HR Lead (IN-SSC)
IN-0007,sick_leave,4,2024-01-01,Country HR Lead (IN-SSC)
IN-0008,earned_leave,5,2024-01-01,Country HR Lead (IN-SSC)
IN-0008,casual_leave,0,2024-01-01,Country HR Lead (IN-SSC)
IN-0008,sick_leave,3,2024-01-01,Country HR Lead (IN-SSC)
IN-0009,earned_leave,0,2024-01-01,Country HR Lead (IN-SSC)
IN-0009,casual_leave,4,2024-01-01,Country HR Lead (IN-SSC)
IN-0009,sick_leave,6,2024-01-01,Country HR Lead (IN-SSC)
IN-0010,earned_leave,5,2024-01-01,Country HR Lead (IN-SSC)
IN-0010,casual_leave,5,2024-01-01,Country HR Lead (IN-SSC)
IN-0010,sick_leave,4,2024-01-01,Country HR Lead (IN-SSC)
IN-0011,earned_leave,2,2024-01-01,Country HR Lead (IN-SSC)
IN-0011,casual_leave,0,2024-01-01,Country HR Lead (IN-SSC)
IN-0011,sick_leave,0,2024-01-01,Country HR Lead (IN-SSC)
US-0003,pto,0,2024-01-01,Country HR Lead (US-CORP)
US-0005,pto,0,2024-01-01,Country HR Lead (US-CORP)
US-0007,pto,0,2024-01-01,Country HR Lead (US-CORP)
US-0008,pto,3,2024-01-01,Country HR Lead (US-CORP)
US-0009,pto,2,2024-01-01,Country HR Lead (US-CORP)
US-0010,pto,6,2024-01-01,Country HR Lead (US-CORP)
NL-0003,statutory,0,2024-01-01,Country HR Lead (NL-BV)
NL-0003,supplementary,6,2024-01-01,Country HR Lead (NL-BV)
NL-0004,statutory,1,2024-01-01,Country HR Lead (NL-BV)
NL-0004,supplementary,0,2024-01-01,Country HR Lead (NL-BV)
NL-0005,statutory,0,2024-01-01,Country HR Lead (NL-BV)
NL-0005,supplementary,6,2024-01-01,Country HR Lead (NL-BV)
NL-0006,statutory,0,2024-01-01,Country HR Lead (NL-BV)
NL-0006,supplementary,5,2024-01-01,Country HR Lead (NL-BV)
DE-0003,statutory,0,2024-01-01,Country HR Lead (DE-GMBH)
DE-0003,contractual,2,2024-01-01,Country HR Lead (DE-GMBH)
DE-0004,statutory,8,2024-01-01,Country HR Lead (DE-GMBH)
DE-0004,contractual,1,2024-01-01,Country HR Lead (DE-GMBH)
DE-0005,statutory,0,2024-01-01,Country HR Lead (DE-GMBH)
DE-0005,contractual,1,2024-01-01,Country HR Lead (DE-GMBH)
IE-0003,annual_leave,4,2024-01-01,Country HR Lead (IE-INTL)
IE-0004,annual_leave,8,2024-01-01,Country HR Lead (IE-INTL)
IE-0005,annual_leave,8,2024-01-01,Country HR Lead (IE-INTL)
